Date,Value
1999-05-31,72000.0
1999-04-30,71700.0
1999-03-31,71500.0
1999-02-28,71300.0
1999-01-31,71000.0
1998-12-31,70700.0
1998-11-30,70500.0
1998-10-31,70100.0
1998-09-30,69800.0
1998-08-31,69400.0
1998-07-31,69100.0
1998-06-30,68700.0
1998-05-31,68400.0
1998-04-30,68000.0
1998-03-31,67700.0
1998-02-28,67300.0
1998-01-31,66900.0
1997-12-31,66500.0
1997-11-30,66100.0
1997-10-31,65800.0
1997-09-30,65400.0
1997-08-31,65100.0
1997-07-31,64700.0
1997-06-30,64500.0
1997-05-31,64200.0
1997-04-30,64000.0
1997-03-31,63800.0
1997-02-28,63600.0
1997-01-31,63400.0
1996-12-31,63200.0
1996-11-30,63000.0
1996-10-31,62900.0
1996-09-30,62700.0
1996-08-31,62600.0
1996-07-31,62600.0
1996-06-30,62500.0
1996-05-31,62500.0
1996-04-30,62400.0
